"Tag","petri_dish","population","family","common_garden","ID","treatment","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len_Initial","GM_NumberOfLeaves_Initial","GM_Leaf_Number","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Fern","ThripsDam","WhiteFungDam","BlackPathDam","GA3","Region","Latitude","Longitude","Altitude","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","GM_Fecundity"
"d|BWPEM1-9-0|Q|24","d","BWPEM1","9-0","Q","24","gm",4,6,8,"24_1",0.1672255,-0.124276905,0.256539308,0.129551245,16,2,1,47,38,2122,2,0,6,0,0,"y","NorthAm",37.373261,-80.524986,1156,4,3,"Dead","Dead","Dead","Dead",7.32e-07,1.65e-07,-5.43e-07,3.09e-07,NA
"a|WSSWM3-1-0|Q|549","a","WSSWM3","1-0","Q","549","gm",4,6,8,"549_1",0.152318135,0.318366385,NA,NA,16,2,1,44,41,4609,2,0,7,0,0,"y","NorthAm",39.90891,-75.35907,23,4,3,"Dead","Dead","Dead","Dead",3.4e-07,3.32e-07,-1.28e-07,-2.44e-09,NA
"d|BWPEM1-9-0|Q|19","d","BWPEM1","9-0","Q","19","gm",3,5,18,"19_1",0.21862585,0.082676235,0.10484859,0.050334964,10,2,1,45,40,3096,2,0,2,0,1,"y","NorthAm",37.373261,-80.524986,1156,9,4,"Dead","Dead","Dead","Dead",1.05e-06,4.38e-08,-2.09e-07,9.57e-08,NA
"e|SMITH1-20|Q|478","e","SMITH1","20","Q","478","gm",3,5,18,"478_1",0.45420586,0.156082865,0.386865379,0.134663371,20,4,1,34,31,8018,4,0,0,0,0,"y","NorthAm",42.43150556,-76.38616667,326,9,4,"Dead","Dead","Dead","Dead",9.98e-07,1.82e-07,-1.43e-08,-3.37e-08,NA
"b|MAVBEL2-1-20|N|314","b","MAVBEL2","1-20","N","314","gm",4,6,7,NA,NA,NA,NA,NA,9,3,NA,NA,NA,1741,2,0,NA,NA,NA,"n","NorthAm",41.170384,-95.902909,358,2,2,"Dead","Dead","Dead","Dead",9.31e-07,1.34e-07,1.1e-07,-1.51e-08,NA
"d|BWPEM1-9-0|Q|23","d","BWPEM1","9-0","Q","23","gm",4,6,7,NA,NA,NA,NA,NA,13,2,NA,NA,NA,7007,2,0,NA,NA,NA,"y","NorthAm",37.373261,-80.524986,1156,2,2,"Dead","Dead","Dead","Dead",1.12e-06,-5.11e-09,-4.54e-07,1e-07,NA
"d|JBBLB2-1-20|Q|215","d","JBBLB2","1-20","Q","215","gm",3,1,21,"215_1",0.42735697,0.120027085,0.238692327,0.137760972,15,2,1,47,44,3854,2,0,0,0,1,"y","NorthAm",38.90765,-75.05181667,0,8,3,"12","10","71","7",2.19e-07,2.43e-07,2.48e-08,-1.6e-08,NA
"d|BWPEM1-9-0|Q|22","d","BWPEM1","9-0","Q","22","gm",3,1,21,NA,NA,NA,NA,NA,22,2,NA,NA,NA,5820,2,0,NA,NA,NA,"y","NorthAm",37.373261,-80.524986,1156,8,3,"7","9","55","5",2.44e-07,4.49e-08,7.45e-08,6.42e-08,NA
"d|BWPEM1-9-0|Q|21","d","BWPEM1","9-0","Q","21","gm",3,4,20,"21_1",0.52144003,0.151647035,0.202118948,0.089629012,1,2,1,36,27,972,1,0,1,0,0,"y","NorthAm",37.373261,-80.524986,1156,4,2,"15","14","70","8",1.51e-06,8.91e-08,1.6e-07,-3.03e-07,NA
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","Q","223","gm",3,4,20,"223_1",0.637141085,0.186668035,0.309528461,0.147909407,9,3,1,48,47,10404,3,0,0,0,0,"y","NorthAm",38.94948333,-75.04693333,25.9,4,2,"20","18","122","13",1.11e-06,1.34e-07,-7.73e-08,7.41e-08,NA
