"","X","Tag","treatment","maple_leaf_length_0","maple_height_0","maple_leaves_0","gh_bench","Maple_LeafNum_End","Maple_Damage_End","Maple_TotalLeafArea_End","Maple_StemHeight_End","comp_number","Sample","ChlorA","ChlorB","DataFile","gluc_Conc","flav_Conc","gh_col","gh_row","GM_Leaf_Len_Initial","GM_NumberOfLeaves_Initial","Fern","Pool","Genotype","GM_Leaf_Number","GM_Leaf_Len","GM_Leaf_Wid","ThripsDam","WhiteFungDam","BlackPathDam","GM_TotalLeaf_Area","GM_NumberOfLeaves","GA3","Family","Region","Latitude","Longitude","Altitude","ID","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Sampler","Maple_Died","RGR1","RGR2","RGR3","RGR4","MapleFinalMass","GM_Fecundity"
"1",32,"d|BWPEM1-9-0|Q|24","gm",NA,NA,NA,4,NA,NA,NA,NA,1,"24_1",0.1672255,-0.124276905,"Dat_Jan_24_2020_PM.txt",0.25653930792,0.12955124542,6,8,16,2,0,"No","d|BWPEM1-9-0|Q|24",1,47,38,6,0,0,2122,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"24",4,3,"Dead","Dead","Dead","Dead","Nikita",NA,7.32e-07,1.65e-07,-5.43e-07,3.09e-07,NA,NA
"2",33,"a|WSSWM3-1-0|Q|549","gm",NA,NA,NA,4,NA,NA,NA,NA,1,"549_1",0.152318135,0.318366385,"Dat_Jan_31_2020_PM.txt",NA,NA,6,8,16,2,0,"No","a|WSSWM3-1-0|Q|549",1,44,41,7,0,0,4609,2,"y","WSSWM3","NorthAm",39.90891,-75.35907,23,"549",4,3,"Dead","Dead","Dead","Dead","Nikita",NA,3.4e-07,3.32e-07,-1.28e-07,-2.44e-09,NA,NA
"3",34,"d|BWPEM1-9-0|Q|19","gm",NA,NA,NA,3,NA,NA,NA,NA,2,"19_1",0.21862585,0.0826762349999999,"Dat_Jan_22_2020_PM.txt",0.1048485903,0.050334964384,5,18,10,2,0,"No","d|BWPEM1-9-0|Q|19",1,45,40,2,0,1,3096,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"19",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,1.05e-06,4.38e-08,-2.09e-07,9.57e-08,NA,NA
"4",35,"e|SMITH1-20|Q|478","gm",NA,NA,NA,3,NA,NA,NA,NA,2,"478_1",0.45420586,0.156082865,"Dat_Jan_24_2020_PM.txt",0.3868653786,0.134663370748,5,18,20,4,0,"No","e|SMITH1-20|Q|478",1,34,31,0,0,0,8018,4,"y","SMITH1","NorthAm",42.43150556,-76.38616667,326,"478",9,4,"Dead","Dead","Dead","Dead","Liisa",NA,9.98e-07,1.82e-07,-1.43e-08,-3.37e-08,NA,NA
"5",36,"b|MAVBEL2-1-20|N|314","gm",NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,7,9,3,0,"No",NA,NA,NA,NA,NA,NA,NA,1741,2,"n","MAVBEL2","NorthAm",41.170384,-95.902909,358,"314",2,2,"Dead","Dead","Dead","Dead","Nikita",NA,9.31e-07,1.34e-07,1.1e-07,-1.51e-08,NA,NA
"6",37,"d|BWPEM1-9-0|Q|23","gm",NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,7,13,2,0,"No",NA,NA,NA,NA,NA,NA,NA,7007,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"23",2,2,"Dead","Dead","Dead","Dead","Nikita",NA,1.12e-06,-5.11e-09,-4.54e-07,1e-07,NA,NA
"7",38,"d|JBBLB2-1-20|Q|215","gm",NA,NA,NA,3,NA,NA,NA,NA,4,"215_1",0.42735697,0.120027085,"Dat_Jan_27_2020_AM.txt",0.23869232682,0.137760972112,1,21,15,2,0,"No","d|JBBLB2-1-20|Q|215",1,47,44,0,0,1,3854,2,"y","JBBLB2","NorthAm",38.90765,-75.05181667,0,"215",8,3,"12","10","71","7","Liisa",NA,2.19e-07,2.43e-07,2.48e-08,-1.6e-08,NA,NA
"8",39,"d|BWPEM1-9-0|Q|22","gm",NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,21,22,2,0,"No",NA,NA,NA,NA,NA,NA,NA,5820,2,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"22",8,3,"7","9","55","5","Liisa",NA,2.44e-07,4.49e-08,7.45e-08,6.42e-08,NA,NA
"9",40,"d|BWPEM1-9-0|Q|21","gm",NA,NA,NA,3,NA,NA,NA,NA,5,"21_1",0.52144003,0.151647035,"Dat_Jan_17_2020_AM.txt",0.20211894816,0.089629012456,4,20,1,2,0,"No","d|BWPEM1-9-0|Q|21",1,36,27,1,0,0,972,1,"y","BWPEM1","NorthAm",37.373261,-80.524986,1156,"21",4,2,"15","14","70","8","Nikita",NA,1.51e-06,8.91e-08,1.6e-07,-3.03e-07,NA,NA
"10",41,"b|JBCHY1-1-50|Q|223","gm",NA,NA,NA,3,NA,NA,NA,NA,5,"223_1",0.637141085,0.186668035,"Dat_Feb_4_2020_AM.txt",0.3095284605,0.14790940735,4,20,9,3,0,"No","b|JBCHY1-1-50|Q|223",1,48,47,0,0,0,10404,3,"y","JBCHY1","NorthAm",38.94948333,-75.04693333,25.9,"223",4,2,"20","18","122","13","Nikita",NA,1.11e-06,1.34e-07,-7.73e-08,7.41e-08,NA,NA
