"Tag","petri_dish","population","family","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","z_RGR1","z_RGR2","z_RGR3","z_RGR4","z_ChlorA","z_ChlorB","z_gluc_Conc","z_flav_Conc","Z_Leaf_Len","z_Leaf_Wid","z_TotalLeaf_Area","z_NumberOfLeaves","z_log_len_bolt","z_log_wid_bolt","z_log_stemheight_bolt","z_log_leafnumber_bolt","mortality"
"d|JBBLB2-1-20|Q|215","d","JBBLB2","1-20","215",3,1,21,8,3,-1.67682819686718,0.171628947957778,0.213169774538091,-0.0748446939415291,0.409204972615396,-0.0952922762183636,0.524880930148237,0.941819521286909,-0.501173918478479,-0.598538241043087,-1.32018293145438,-1.18368375180793,-0.317357798829474,-0.536789830901542,0.333348095638864,-0.248766162480647,"1"
"d|BWPEM1-9-0|Q|22","d","BWPEM1","9-0","22",3,1,21,8,3,-1.62071769905471,-0.556825234712763,0.513245335802588,0.655730768034531,-3.24035320211271e-16,4.17263251701859e-16,-4.09273056089083e-16,8.81375386235202e-16,0,0,-0.741625416397581,-1.18368375180793,-1.09381845054329,-0.684840921874468,0.0617149075097293,-0.726549614937116,"1"
"d|BWPEM1-9-0|Q|21","d","BWPEM1","9-0","21",3,4,20,4,2,1.2207179101691,-0.394292802234026,1.02947190497994,-2.68924815512768,0.958396149475546,0.380066020736605,-0.0144160674036951,-0.586605809275131,-1.3790710060005,-1.81174519430478,-2.16830234060682,-2.48023037297429,0.00409547042856664,-0.0639838522780803,0.318258737723087,-0.0591544119834215,"1"
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","223",3,4,20,4,2,0.322949945169475,-0.229186326706982,-0.403283239649134,0.745914023315865,1.63377807858596,0.906553979055955,1.56940335134389,1.26408200799143,-0.421365092340114,-0.384442896349848,0.607361180255705,0.112862869358431,0.418520813002491,0.289159590993038,0.909217029769372,0.630256407607975,"1"
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","223",3,4,20,4,2,0.322949945169475,-0.229186326706982,-0.403283239649134,0.745914023315865,3.6828956315671,2.87828310363215,0.196878507168588,0.338566162479776,0.217105516766809,-0.0276173218611145,0.607361180255705,0.112862869358431,0.418520813002491,0.289159590993038,0.909217029769372,0.630256407607975,"1"
"d|BWPEM1-9-0|Q|18","d","BWPEM1","9-0","18",4,1,9,4,4,-0.222444093567796,-1.09700655442151,-0.466075711221584,0.327791657920589,-0.419970760131046,-0.991816811072549,-0.0250952110521955,1.07457654349313,-1.61849748441559,-1.45491961981605,-1.71864014172239,-1.18368375180793,0.266741915474635,-0.0639838522780803,0.585602476908467,-0.467656864269193,"1"
"a|MSMID1-1-20|Q|366","a","MSMID1","1-20","366",4,1,9,4,4,-0.985546863817475,-0.693911413056821,0.426905687390469,-0.431933947176711,-0.430838647857893,-0.567628390075735,-1.02308705987399,1.16709373114215,-1.05983570144704,-1.16945916022506,-0.955273817176439,-1.18368375180793,0.953783065704483,0.750768811492715,1.42970825727424,1.24195902823644,"1"
"a|MSMID1-1-20|Q|366","a","MSMID1","1-20","366",4,1,9,4,4,-0.985546863817475,-0.693911413056821,0.426905687390469,-0.431933947176711,-0.887394595199387,-0.863616820336618,-0.455566599665183,0.23951429378619,0.376723169043539,0.757398942014098,-0.955273817176439,-1.18368375180793,0.953783065704483,0.750768811492715,1.42970825727424,1.24195902823644,"1"
"d|SMAKC1-B|N|442","d","SMAKC1","B","442",4,4,1,6,2,-1.56909604106723,-0.367081490009079,-1.08977401059025,1.1913646478873,-0.462031172614046,-0.460014512978038,-0.409290285945656,0.44759198961858,-1.45887983213886,-1.52628473471379,-0.157476552009105,0.112862869358431,0.00409547042856664,0.289159590993038,0.446925935044313,0.108095005031815,"1"
"d|BWPEM1-9-0|Q|25","d","BWPEM1","9-0","25",4,4,1,6,2,-0.0563570200428658,-1.97953559955493,2.10418920689303,-1.82385328121589,-3.24035320211271e-16,4.17263251701859e-16,-4.09273056089083e-16,8.81375386235202e-16,0,0,-1.22660140053471,-1.18368375180793,-0.901457513133585,-0.684840921874468,0.080882667469114,-0.726549614937116,"1"
