"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","z_RGR1","z_RGR2","z_RGR3","z_RGR4","z_ChlorA","z_ChlorB","z_gluc_Conc","z_flav_Conc","z_Leaf_Len","z_Leaf_Wid","z_TotalLeaf_Area","z_NumberOfLeaves","mortality"
"d|BWPEM1-9-0|Q|24","d","BWPEM1","9-0","Q","24",4,6,8,4,3,-0.525167896365818,-0.115133166730328,-3.21338793756875,2.8842180323578,-1.10828822454051,-3.76591744751907,0.787636387132538,0.680766779993408,-0.500913635979242,-1.02619570321602,-1.82892822577804,-1.18306901078916,"0"
"a|WSSWM3-1-0|Q|549","a","WSSWM3","1-0","Q","549",4,6,8,4,3,-1.40452357520747,0.498641033908155,-0.70902811655163,0.0486537562878681,-1.19527006131039,2.88525356898305,0,0,-0.740215769291994,-0.812211548010777,-1.09743012418191,-1.18306901078916,"0"
"d|BWPEM1-9-0|Q|19","d","BWPEM1","9-0","Q","19",3,5,18,9,4,0.188186965551643,-0.560578874020054,-1.19783087679835,0.942187913921771,-0.808376278088865,-0.656233515470522,-1.44797500648588,-1.83343148231724,-0.660448391521077,-0.883539599745859,-1.54244686230613,-1.18306901078916,"0"
"e|SMITH1-20|Q|478","e","SMITH1","20","Q","478",3,5,18,9,4,0.071537742848159,-0.0526531582820995,-0.0228938716127218,-0.235958815218509,0.566191392057296,0.446776652999659,2.70837651592281,0.843017474525898,-1.53788954700117,-1.52549206536159,-0.0947453520302303,1.40867751982337,"0"
"b|MAVBEL2-1-20|N|314","b","MAVBEL2","1-20","N","314",4,6,7,2,2,-0.0787602940967149,-0.229067299782981,0.727207154296744,-0.0666116037655781,0,0,0,0,0,0,-1.94099126426141,-1.18306901078916,"0"
"d|BWPEM1-9-0|Q|23","d","BWPEM1","9-0","Q","23",4,6,7,2,2,0.345214765344795,-0.740337533620223,-2.6763083614952,0.981338075709277,0,0,0,0,0,0,-0.392109477769552,-1.18306901078916,"0"
"d|JBBLB2-1-20|Q|215","d","JBBLB2","1-20","Q","215",3,1,21,8,3,-1.67595734342134,0.171539813208604,0.21305906574094,-0.0748058236745909,0.409532870082912,-0.0949985513943274,0.524608332978274,0.941330395365499,-0.500913635979242,-0.598227392805532,-1.31949730017913,-1.18306901078916,"1"
"d|BWPEM1-9-0|Q|22","d","BWPEM1","9-0","Q","22",3,1,21,8,3,-1.61987598635236,-0.556536049943992,0.512978784065159,0.655390217106324,0,0,0,0,0,0,-0.741240256456569,-1.18306901078916,"1"
"d|BWPEM1-9-0|Q|21","d","BWPEM1","9-0","Q","21",3,4,20,4,2,1.22008393562093,-0.394088027978597,1.02893725321447,-2.68785150577088,0.958490876258485,0.380123741735308,-0.0144085779987253,-0.586301143834465,-1.37835479145933,-1.81080427230192,-2.16717624219765,-2.47894227609543,"1"
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","Q","223",3,4,20,4,2,0.322782222517202,-0.229067299782981,-0.403073796249056,0.745526636105465,1.63358605774185,0.906350311596834,1.56858828125433,1.26342552413021,-0.421146258208325,-0.384243237600287,0.607045749862965,0.112804254517106,"1"
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","Q","223",3,4,20,4,2,0.322782222517202,-0.229067299782981,-0.403073796249056,0.745526636105465,3.68183361469475,2.87710052064993,0.196776265481655,0.338390314412138,0.216992763959013,-0.0276029789248778,0.607045749862965,0.112804254517106,"1"
"d|BWPEM1-9-0|Q|18","d","BWPEM1","9-0","Q","18",4,1,9,4,4,-0.222328568193311,-1.09643682882898,-0.465833656823943,0.327621420745814,-0.419290818636996,-0.991077983636259,-0.0250821801962895,1.07401846335181,-1.61765692477208,-1.45416401362651,-1.71774757342447,-1.18306901078916,"1"
