"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","ChlorA","ChlorB","gluc_Conc","flav_Conc","RGR1","RGR2","RGR3","RGR4","mortality"
"d|JBBLB2-1-20|Q|215","d","JBBLB2","1-20","Q","215",3,1,21,8,3,47,44,3854,2,71,7,12,10,0.42735697,0.120027085,0.23869232682,0.137760972112,2.19e-07,2.43e-07,2.48e-08,-1.6e-08,"1"
"d|BWPEM1-9-0|Q|22","d","BWPEM1","9-0","Q","22",3,1,21,8,3,53.2883295194508,52.4176201372998,5820,2,55,5,7,9,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,2.44e-07,4.49e-08,7.45e-08,6.42e-08,"1"
"d|BWPEM1-9-0|Q|21","d","BWPEM1","9-0","Q","21",3,4,20,4,2,36,27,972,1,70,8,15,14,0.52144003,0.151647035,0.20211894816,0.089629012456,1.51e-06,8.91e-08,1.6e-07,-3.03e-07,"1"
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","Q","223",3,4,20,4,2,48,47,10404,3,122,13,20,18,0.637141085,0.186668035,0.3095284605,0.14790940735,1.11e-06,1.34e-07,-7.73e-08,7.41e-08,"1"
"b|JBCHY1-1-50|Q|223","b","JBCHY1","1-50","Q","223",3,4,20,4,2,56,52,10404,3,122,13,20,18,0.98817959,0.31782379,0.21644826342,0.118763794516,1.11e-06,1.34e-07,-7.73e-08,7.41e-08,"1"
"d|BWPEM1-9-0|Q|18","d","BWPEM1","9-0","Q","18",4,1,9,4,4,33,32,2500,2,90,6,18,14,0.285309185,0.0603919400000001,0.20139472284,0.141941650876,8.67e-07,-1.02e-07,-8.77e-08,2.82e-08,"1"
"a|MSMID1-1-20|Q|366","a","MSMID1","1-20","Q","366",4,1,9,4,4,40,36,5094,2,199,20,29,25,0.283447385,0.088608165,0.13371414234,0.144855129082,5.27e-07,7.62e-09,6.02e-08,-5.52e-08,"1"
"a|MSMID1-1-20|Q|366","a","MSMID1","1-20","Q","366",4,1,9,4,4,58,63,5094,2,199,20,29,25,0.205233855,0.068919565,0.17220154506,0.115644531604,5.27e-07,7.62e-09,6.02e-08,-5.52e-08,"1"
"d|SMAKC1-B|N|442","d","SMAKC1","B","N","442",4,4,1,6,2,35,31,7805,3,79,9,15,18,0.27810373,0.09576644,0.17533985478,0.122197149874,2.67e-07,9.65e-08,-1.91e-07,1.23e-07,"1"
"d|BWPEM1-9-0|Q|25","d","BWPEM1","9-0","Q","25",4,4,1,6,2,53.2883295194508,52.4176201372998,4172,2,56,5,8,9,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,9.41e-07,-3.42e-07,3.38e-07,-2.08e-07,"1"
"e|JWBOY-2-80|Q|263","e","JWBOY1","2-80","Q","263",3,2,2,4,1,46,35,8730,3,20,3,4,4,0.452845405,0.14097845,0.36196582236,0.157613780854,3.51e-07,-2.37e-09,-2.61e-09,9.65e-08,"1"
"e|JWBOY-2-80|Q|263","e","JWBOY1","2-80","Q","263",3,2,2,4,1,55,55,8730,3,20,3,4,4,0.430773925,0.132542595,0.21172355538,0.095802553636,3.51e-07,-2.37e-09,-2.61e-09,9.65e-08,"1"
"e|DVGM-20|Q|127","e","DVGM","20","Q","127",4,6,16,8,4,32,35,4768,3,32,6,7,9,0.44175247,0.10190475,0.30420023136,0.120431733712,3.35e-07,2.29e-07,-8.73e-08,2.48e-08,"1"
"e|DVGM-20|Q|127","e","DVGM","20","Q","127",4,6,16,8,4,52,48,4768,3,32,6,7,9,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,3.35e-07,2.29e-07,-8.73e-08,2.48e-08,"1"
"b|KVEDG1-1-80|Q|279","b","KVEDG1","1-80","Q","279",4,6,16,8,4,32,34,5647,3,120,8,12,12,0.56905025,0.296965635,0.31316683056,0.148039376638,3.88e-07,1.73e-08,1.16e-07,-2.99e-08,"1"
"b|KVEDG1-1-80|Q|279","b","KVEDG1","1-80","Q","279",4,6,16,8,4,47,52,5647,3,120,8,12,12,0.20338828,0.0992714,0.09964106538,0.05102813392,3.88e-07,1.73e-08,1.16e-07,-2.99e-08,"1"
"d|KVEDG1-1-80|Q|294","d","KVEDG1","1-80","Q","294",3,2,17,9,4,39,36,4544,3,54,6,15,16,0.40292153,0.12836582,0.18116814426,0.126020413096,1.94e-07,8.84e-08,1.33e-07,3.92e-08,"1"
"d|KVEDG1-1-80|Q|294","d","KVEDG1","1-80","Q","294",3,2,17,9,4,37,35,4544,3,54,6,15,16,0.473864705,0.17488648,0.28130091648,0.120821641576,1.94e-07,8.84e-08,1.33e-07,3.92e-08,"1"
"b|MHBUR1-4-20|Q|343","b","MHBUR1","4-20","Q","343",3,2,17,9,4,33,36,4563,3,25,6,9,6,0.49381397,0.122606525,0.21418937016,0.095250184162,3.62e-07,1.13e-07,-8.01e-08,3.33e-08,"1"
"b|MHBUR1-4-20|Q|343","b","MHBUR1","4-20","Q","343",3,2,17,9,4,36,40,4563,3,25,6,9,6,0.75106065,0.205821035,0.22894977192,0.146133160414,3.62e-07,1.13e-07,-8.01e-08,3.33e-08,"1"
"b|KVEDG1-1-80|Q|281","b","KVEDG1","1-80","Q","281",4,4,2,6,2,46,51,4075,3,14,2,10,10,0.1186483,0.0403660949999999,0.12395434398,0.03505274227,4.8e-07,7.61e-08,-4.19e-08,7.76e-08,"1"
"d|VRPET2-3-20|Q|526","d","VRPET2","3-20","Q","526",4,4,2,6,2,42,42,8718,3,99,9,26,29,0.638452865,0.19536562,0.4808422356,0.188947210036,6.31e-07,-1.84e-07,-1.14e-07,8.99e-08,"1"
"d|VRPET2-3-20|Q|526","d","VRPET2","3-20","Q","526",4,4,2,6,2,57,58,8718,3,99,9,26,29,0.28281624,0.114843925,0.15487186776,0.057266659744,6.31e-07,-1.84e-07,-1.14e-07,8.99e-08,"1"
