"Tag","population","ID","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","petri_dish","family","common_garden","mortality"
"d|BWPEM1-9-0|Q|24","BWPEM1","24",4,6,8,"24_1",0.1672255,-0.124276905,0.256539308,0.129551245,47,38,2122,2,4,3,"Dead","Dead","Dead","Dead",7.32e-07,1.65e-07,-5.43e-07,3.09e-07,"d","9-0","Q","0"
"a|WSSWM3-1-0|Q|549","WSSWM3","549",4,6,8,"549_1",0.152318135,0.318366385,0.203096599088803,0.108101937554967,44,41,4609,2,4,3,"Dead","Dead","Dead","Dead",3.4e-07,3.32e-07,-1.28e-07,-2.44e-09,"a","1-0","Q","0"
"d|BWPEM1-9-0|Q|19","BWPEM1","19",3,5,18,"19_1",0.21862585,0.082676235,0.10484859,0.050334964,45,40,3096,2,9,4,"Dead","Dead","Dead","Dead",1.05e-06,4.38e-08,-2.09e-07,9.57e-08,"d","9-0","Q","0"
"e|SMITH1-20|Q|478","SMITH1","478",3,5,18,"478_1",0.45420586,0.156082865,0.386865379,0.134663371,34,31,8018,4,9,4,"Dead","Dead","Dead","Dead",9.98e-07,1.82e-07,-1.43e-08,-3.37e-08,"e","20","Q","0"
"b|MAVBEL2-1-20|N|314","MAVBEL2","314",4,6,7,NA,0.357255232002347,0.126365750021127,0.203096599088803,0.108101937554967,53.2796803652968,52.3869863013699,1741,2,2,2,"Dead","Dead","Dead","Dead",9.31e-07,1.34e-07,1.1e-07,-1.51e-08,"b","1-20","N","0"
"d|BWPEM1-9-0|Q|23","BWPEM1","23",4,6,7,NA,0.357255232002347,0.126365750021127,0.203096599088803,0.108101937554967,53.2796803652968,52.3869863013699,7007,2,2,2,"Dead","Dead","Dead","Dead",1.12e-06,-5.11e-09,-4.54e-07,1e-07,"d","9-0","Q","0"
"d|JBBLB2-1-20|Q|215","JBBLB2","215",3,1,21,"215_1",0.42735697,0.120027085,0.238692327,0.137760972,47,44,3854,2,8,3,"12","10","71","7",2.19e-07,2.43e-07,2.48e-08,-1.6e-08,"d","1-20","Q","1"
"d|BWPEM1-9-0|Q|22","BWPEM1","22",3,1,21,NA,0.357255232002347,0.126365750021127,0.203096599088803,0.108101937554967,53.2796803652968,52.3869863013699,5820,2,8,3,"7","9","55","5",2.44e-07,4.49e-08,7.45e-08,6.42e-08,"d","9-0","Q","1"
"d|BWPEM1-9-0|Q|21","BWPEM1","21",3,4,20,"21_1",0.52144003,0.151647035,0.202118948,0.089629012,36,27,972,1,4,2,"15","14","70","8",1.51e-06,8.91e-08,1.6e-07,-3.03e-07,"d","9-0","Q","1"
"b|JBCHY1-1-50|Q|223","JBCHY1","223",3,4,20,"223_1",0.637141085,0.186668035,0.309528461,0.147909407,48,47,10404,3,4,2,"20","18","122","13",1.11e-06,1.34e-07,-7.73e-08,7.41e-08,"b","1-50","Q","1"
